================ Training Loss (Sat Aug  1 17:29:51 2026) ================
[Rank 0] (epoch: 1, iters: 1600, time: 0.001, data: 0.075) , D_A: 0.871, G_A: 0.210, cycle_A: 1.032, D_B: 0.839, G_B: 0.171, cycle_B: 1.072, gp: 0.406

[Rank 0] (epoch: 1, iters: 3200, time: 0.001, data: 0.001) , D_A: 0.718, G_A: 0.789, cycle_A: 0.396, D_B: 0.722, G_B: 0.454, cycle_B: 0.433, gp: 0.439

[Rank 0] (epoch: 1, iters: 4800, time: 0.001, data: 0.001) , D_A: 0.596, G_A: 0.419, cycle_A: 0.238, D_B: 0.673, G_B: 0.282, cycle_B: 0.251, gp: 0.445

[Rank 0] (epoch: 1, iters: 6400, time: 0.001, data: 0.001) , D_A: 0.628, G_A: 0.878, cycle_A: 0.263, D_B: 0.538, G_B: 0.480, cycle_B: 0.273, gp: 0.335

[Rank 0] (epoch: 1, iters: 8000, time: 0.001, data: 0.001) , D_A: 0.534, G_A: 0.526, cycle_A: 0.222, D_B: 0.480, G_B: 0.402, cycle_B: 0.232, gp: 0.291

[Rank 0] (epoch: 1, iters: 9600, time: 0.001, data: 0.001) , D_A: 0.438, G_A: 1.068, cycle_A: 0.204, D_B: 0.898, G_B: 1.354, cycle_B: 0.290, gp: 0.493

[Rank 0] (epoch: 1, iters: 11200, time: 0.001, data: 0.001) , D_A: 0.633, G_A: 0.392, cycle_A: 0.267, D_B: 0.507, G_B: 0.373, cycle_B: 0.193, gp: 0.411

[Rank 0] (epoch: 1, iters: 12800, time: 0.001, data: 0.001) , D_A: 0.531, G_A: 1.349, cycle_A: 0.198, D_B: 0.584, G_B: 1.420, cycle_B: 0.184, gp: 0.343

[Rank 0] (epoch: 1, iters: 14400, time: 0.001, data: 0.001) , D_A: 0.481, G_A: 0.486, cycle_A: 0.197, D_B: 0.507, G_B: 1.115, cycle_B: 0.220, gp: 0.356

[Rank 0] (epoch: 1, iters: 16000, time: 0.001, data: 0.001) , D_A: 0.542, G_A: 1.288, cycle_A: 0.181, D_B: 0.380, G_B: 0.586, cycle_B: 0.305, gp: 0.279

[Rank 0] (epoch: 1, iters: 17600, time: 0.001, data: 0.001) , D_A: 0.455, G_A: 1.028, cycle_A: 0.179, D_B: 0.442, G_B: 1.045, cycle_B: 0.255, gp: 0.364

[Rank 0] (epoch: 1, iters: 19200, time: 0.001, data: 0.001) , D_A: 0.521, G_A: 0.085, cycle_A: 0.217, D_B: 0.539, G_B: 0.327, cycle_B: 0.226, gp: 0.375

[Rank 0] (epoch: 1, iters: 20800, time: 0.001, data: 0.001) , D_A: 0.393, G_A: 0.716, cycle_A: 0.192, D_B: 0.351, G_B: 0.855, cycle_B: 0.221, gp: 0.313

[Rank 0] (epoch: 1, iters: 22400, time: 0.001, data: 0.001) , D_A: 0.465, G_A: 0.970, cycle_A: 0.190, D_B: 0.544, G_B: 1.730, cycle_B: 0.203, gp: 0.340

[Rank 0] (epoch: 1, iters: 24000, time: 0.001, data: 0.001) , D_A: 0.332, G_A: 0.898, cycle_A: 0.197, D_B: 0.292, G_B: 0.758, cycle_B: 0.162, gp: 0.241

[Rank 0] (epoch: 1, iters: 25600, time: 0.001, data: 0.001) , D_A: 0.379, G_A: 0.472, cycle_A: 0.192, D_B: 0.380, G_B: 0.691, cycle_B: 0.209, gp: 0.327

[Rank 0] (epoch: 1, iters: 27200, time: 0.001, data: 0.001) , D_A: 0.689, G_A: 0.768, cycle_A: 0.196, D_B: 0.411, G_B: 0.797, cycle_B: 0.185, gp: 0.361

[Rank 0] (epoch: 1, iters: 28800, time: 0.001, data: 0.001) , D_A: 0.400, G_A: 1.381, cycle_A: 0.203, D_B: 0.358, G_B: 1.176, cycle_B: 0.217, gp: 0.313

[Rank 0] (epoch: 1, iters: 30400, time: 0.001, data: 0.001) , D_A: 0.387, G_A: 0.868, cycle_A: 0.173, D_B: 0.310, G_B: 0.924, cycle_B: 0.190, gp: 0.269

[Rank 0] (epoch: 1, iters: 32000, time: 0.001, data: 0.001) , D_A: 0.354, G_A: 1.274, cycle_A: 0.197, D_B: 0.322, G_B: 0.598, cycle_B: 0.188, gp: 0.269

[Rank 0] (epoch: 1, iters: 33600, time: 0.001, data: 0.001) , D_A: 0.493, G_A: 0.613, cycle_A: 0.188, D_B: 0.341, G_B: 0.714, cycle_B: 0.191, gp: 0.300

[Rank 0] (epoch: 1, iters: 35200, time: 0.001, data: 0.001) , D_A: 0.380, G_A: 1.448, cycle_A: 0.165, D_B: 0.284, G_B: 0.923, cycle_B: 0.160, gp: 0.256

[Rank 0] (epoch: 1, iters: 36800, time: 0.001, data: 0.001) , D_A: 0.418, G_A: 0.817, cycle_A: 0.161, D_B: 0.355, G_B: 1.142, cycle_B: 0.152, gp: 0.270

[Rank 0] (epoch: 1, iters: 38400, time: 0.001, data: 0.001) , D_A: 0.397, G_A: 1.120, cycle_A: 0.170, D_B: 0.342, G_B: 1.026, cycle_B: 0.165, gp: 0.315

[Rank 0] (epoch: 1, iters: 40000, time: 0.001, data: 0.001) , D_A: 0.340, G_A: 0.955, cycle_A: 0.192, D_B: 0.408, G_B: 0.717, cycle_B: 0.141, gp: 0.347

[Rank 0] (epoch: 2, iters: 1152, time: 0.001, data: 0.001) , D_A: 0.555, G_A: 0.833, cycle_A: 0.185, D_B: 0.308, G_B: 1.122, cycle_B: 0.158, gp: 0.276

[Rank 0] (epoch: 2, iters: 2752, time: 0.001, data: 0.001) , D_A: 0.309, G_A: 0.880, cycle_A: 0.173, D_B: 0.343, G_B: 1.028, cycle_B: 0.150, gp: 0.297

[Rank 0] (epoch: 2, iters: 4352, time: 0.001, data: 0.001) , D_A: 0.533, G_A: 0.536, cycle_A: 0.180, D_B: 0.365, G_B: 0.851, cycle_B: 0.164, gp: 0.325

