condition,cipher,period,alphabet,key best,key mean,solved,majority class,sec (CPU)
a10,substitution,1,10,1.0000,1.0000,10/10,0.2962,11
a14,substitution,1,14,1.0000,1.0000,10/10,0.2686,12
a20,substitution,1,20,1.0000,1.0000,10/10,0.2031,12
a27,substitution,1,27,1.0000,1.0000,10/10,0.1747,13
a7,substitution,1,7,1.0000,1.0000,10/10,0.3505,11
identity,identity,1,27,1.0000,1.0000,10/10,0.1747,14
poly11,polysub,11,27,1.0000,1.0000,3/10,0.1747,62
poly15,polysub,15,27,0.9951,0.9942,0/10,0.1747,83
poly21,polysub,21,27,0.9735,0.9718,0/10,0.1747,117
poly31,polysub,31,27,0.9546,0.9454,0/10,0.1747,175
shift,shift,1,27,1.0000,1.0000,10/10,0.1747,13
substitution,substitution,1,27,1.0000,1.0000,10/10,0.1747,13
substitution_128,substitution,1,27,1.0000,1.0000,10/10,0.1750,13
u200,substitution,1,201,0.6020,0.5655,0/10,0.4531,264
u200shift,shift,1,201,0.5871,0.5738,0/10,0.4531,257
vig3,vigenere,3,27,1.0000,1.0000,10/10,0.1747,54
vig7,vigenere,7,27,1.0000,1.0000,10/10,0.1747,126
w100,substitution,1,100,1.0000,0.9933,2/10,0.1410,41
w1000,substitution,1,1000,0.0460,0.0320,0/10,0.0957,44302
w200,substitution,1,200,0.7650,0.7267,0/10,0.1290,257
w2000,substitution,1,2000,0.0010,0.0003,0/10,0.0872,4198
w50,substitution,1,50,1.0000,1.0000,3/10,0.1650,10
w500,substitution,1,500,0.1340,0.1127,0/10,0.1080,3744
